id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized,列1
8,16,E6_0,5.1,0,0,29,-E7_0,29.56,12.75,13,93.66,0,0,0,4.75,0,tripinfo_8,DEFAULT_VEHTYPE,0.94,,47.4
5,10,-E21_0,5.1,0,0,33,E20_0,21.59,10.21,23,186.75,0,0,0,5.3,0,tripinfo_5,DEFAULT_VEHTYPE,0.83,,47.4
9,18,-E6_0,5.1,0,0,53,E3_0,33.94,11.02,35,273.78,0,0,0,9.08,0,tripinfo_9,DEFAULT_VEHTYPE,0.86,,47.4
7,15,-E7_0,5.1,0,1,59,-E0_0,59.98,11.09,44,172.01,17,1,0,28.31,0,tripinfo_7,DEFAULT_VEHTYPE,0.89,,47.4
25,50,E0_0,5.1,0,0,65,E2_0,39.12,11.68,15,108.27,0,0,0,4.21,0,tripinfo_25,DEFAULT_VEHTYPE,0.87,,47.4
37,74,-E0_0,5.1,0,0,89,E18_0,25.15,15.15,15,136.08,0,0,0,5.51,0,tripinfo_37,DEFAULT_VEHTYPE,1.18,,47.4
17,34,-E7_0,5.1,0,0,95,-E4_0,27.1,11.75,61,252.21,14,2,0,38.49,0,tripinfo_17,DEFAULT_VEHTYPE,0.94,,47.4
0,0,-E2_0,5.1,0,0,96,E12_0,30.33,13.57,96,198.04,63,2,0,80.28,0,tripinfo_0,DEFAULT_VEHTYPE,1.06,,47.4
21,42,-E16_0,5.1,0,0,96,E10_0,63.43,7.93,54,224.48,6,2,0,36.62,0,tripinfo_21,DEFAULT_VEHTYPE,1.01,,47.4
39,78,-E3_0,5.1,0,0,96,-E3_0,33.94,9.19,18,28.84,9,1,0,15.04,0,tripinfo_39,DEFAULT_VEHTYPE,0.9,,47.4
15,30,-E6_0,5.1,0,0,98,E1_0,58.45,11.92,68,159.87,43,1,0,53.34,0,tripinfo_15,DEFAULT_VEHTYPE,0.93,,47.4
4,8,E6_0,5.1,0,0,99,-E8_0,58.81,13.93,91,359.13,37,2,0,62.98,0,tripinfo_4,DEFAULT_VEHTYPE,1.03,,47.4
19,42,-E3_0,5.1,0,4,100,-E0_0,59.98,15.13,58,103.14,41,1,0,50.64,0,tripinfo_19,DEFAULT_VEHTYPE,1.16,,47.4
12,24,-E16_0,5.1,0,0,102,E6_0,54.42,5.24,78,220.91,22,3,0,61.38,0,tripinfo_12,DEFAULT_VEHTYPE,1.05,,47.4
35,70,-E18_0,5.1,0,0,105,E12_0,30.33,13.65,35,162.17,10,1,0,22.73,0,tripinfo_35,DEFAULT_VEHTYPE,1.02,,47.4
1,2,-E1_0,5.1,0,0,106,E17_0,36.04,12.13,104,221.19,61,4,0,84.68,0,tripinfo_1,DEFAULT_VEHTYPE,0.94,,47.4
24,48,-E17_0,5.1,0,0,108,E21_0,16.21,10.7,60,206.71,33,1,0,41.9,0,tripinfo_24,DEFAULT_VEHTYPE,0.83,,47.4
26,52,-E17_0,5.1,0,0,113,E19_0,18.28,10.95,61,133.39,36,2,0,49.5,0,tripinfo_26,DEFAULT_VEHTYPE,0.92,,47.4
41,82,-E9_0,5.1,0,0,115,E11_0,38.72,12.03,33,229.49,3,1,0,13.87,0,tripinfo_41,DEFAULT_VEHTYPE,0.96,,47.4
11,22,-E18_0,5.1,0,0,116,E15_0,42.32,13.51,94,320.48,52,2,0,70.54,0,tripinfo_11,DEFAULT_VEHTYPE,1.03,,47.4
55,110,-E10_0,5.1,0,0,125,-E10_0,63.43,7.36,15,58.33,1,1,0,10.69,0,tripinfo_55,DEFAULT_VEHTYPE,1,,47.4
53,106,-E15_0,5.1,0,0,132,E13_0,27.85,12.87,26,152.54,1,1,0,14.98,0,tripinfo_53,DEFAULT_VEHTYPE,1.1,,47.4
28,56,E0_0,5.1,0,0,138,-E1_0,58.45,5.87,82,296.75,40,2,0,60.59,0,tripinfo_28,DEFAULT_VEHTYPE,1.13,,47.4
33,66,E1_0,5.1,0,0,138,E3_0,33.94,5.78,72,286.42,30,3,0,52.57,0,tripinfo_33,DEFAULT_VEHTYPE,1.17,,47.4
47,94,-E10_0,5.1,0,0,138,E8_0,58.81,5.24,44,131.7,19,2,0,33.33,0,tripinfo_47,DEFAULT_VEHTYPE,0.9,,47.4
18,36,-E14_0,5.1,0,0,140,E20_0,21.59,12.41,104,157.09,74,3,0,91.55,0,tripinfo_18,DEFAULT_VEHTYPE,0.94,,47.4
13,26,E1_0,5.1,0,0,141,E23_0,39.96,14,115,312.5,68,4,0,93.63,0,tripinfo_13,DEFAULT_VEHTYPE,1.12,,47.4
32,65,E10_0,5.1,0,1,141,E2_0,39.12,12.97,76,222.54,42,2,0,57.99,0,tripinfo_32,DEFAULT_VEHTYPE,1.01,,47.4
34,68,-E6_0,5.1,0,0,141,E13_0,27.85,13.4,73,188.34,41,2,0,58.23,0,tripinfo_34,DEFAULT_VEHTYPE,0.99,,47.4
20,40,-E12_0,5.1,0,0,142,-E1_0,58.45,8.41,102,292.36,58,3,0,79.76,0,tripinfo_20,DEFAULT_VEHTYPE,1.02,,47.4
2,4,E8_0,5.1,0,0,143,E5_0,60.98,13.77,139,225.88,101,3,0,121.49,0,tripinfo_2,DEFAULT_VEHTYPE,1.01,,47.4
10,20,E4_0,5.1,0,0,143,E13_0,27.85,14.28,123,241.81,76,5,0,104.87,0,tripinfo_10,DEFAULT_VEHTYPE,1.09,,47.4
16,32,-E8_0,5.1,0,0,143,-E5_0,60.98,11.68,111,220.42,77,2,0,91.13,0,tripinfo_16,DEFAULT_VEHTYPE,0.88,,47.4
30,61,E9_0,5.1,0,1,144,E21_0,16.21,10.79,83,102.74,53,3,0,75.86,0,tripinfo_30,DEFAULT_VEHTYPE,1.18,,47.4
40,80,-E14_0,5.1,0,0,144,E1_0,58.45,7.73,64,221.39,17,3,0,45.92,0,tripinfo_40,DEFAULT_VEHTYPE,1.03,,47.4
43,86,-E8_0,5.1,0,0,144,-E6_0,54.42,13.94,58,288.42,25,1,0,36.63,0,tripinfo_43,DEFAULT_VEHTYPE,1.04,,47.4
3,6,-E18_0,5.1,0,0,145,E4_0,27.1,8.75,139,254.24,91,4,0,119.96,0,tripinfo_3,DEFAULT_VEHTYPE,1.08,,47.4
14,28,-E16_0,5.1,0,0,146,E16_0,35.57,12.58,118,300.22,61,4,0,93.61,0,tripinfo_14,DEFAULT_VEHTYPE,0.99,,47.4
23,46,-E1_0,5.1,0,0,146,E1_0,58.45,7.99,100,350.43,36,3,0,68.23,0,tripinfo_23,DEFAULT_VEHTYPE,0.89,,47.4
22,44,-E21_0,5.1,0,0,148,E1_0,58.45,10.42,104,194.92,68,3,0,88.07,0,tripinfo_22,DEFAULT_VEHTYPE,0.97,,47.4
38,96,E9_0,5.1,0,20,156,E1_0,58.45,14.48,60,183.11,23,3,0,46.89,0,tripinfo_38,DEFAULT_VEHTYPE,1.1,,47.4
48,99,-E4_0,5.1,0,3,162,E17_0,36.04,11.57,63,253.45,23,1,0,39.42,0,tripinfo_48,DEFAULT_VEHTYPE,0.88,,47.4
36,72,-E12_0,5.1,0,0,164,-E11_0,38.72,13.25,92,281.34,34,4,0,69.3,0,tripinfo_36,DEFAULT_VEHTYPE,0.97,,47.4
54,109,E6_0,5.1,0,1,165,E19_0,18.28,13.23,56,247.77,15,2,0,35.34,0,tripinfo_54,DEFAULT_VEHTYPE,1,,47.4
58,116,-E22_0,5.1,0,0,166,E7_0,29.56,11.03,50,214.4,10,1,0,33.67,0,tripinfo_58,DEFAULT_VEHTYPE,1.02,,47.4
83,166,-E3_0,5.1,0,0,171,-E3_0,33.94,11.35,5,28.84,0,0,0,2.46,0,tripinfo_83,DEFAULT_VEHTYPE,0.97,,47.4
44,89,-E8_0,5.1,0,1,186,-E3_0,33.94,14.1,97,331.4,54,2,0,72.09,0,tripinfo_44,DEFAULT_VEHTYPE,1.04,,47.4
59,118,E3_0,5.1,0,0,186,E18_0,25.15,13.39,68,138.28,41,2,0,55.68,0,tripinfo_59,DEFAULT_VEHTYPE,0.97,,47.4
61,122,-E8_0,5.1,0,0,187,E15_0,42.32,15.16,65,188.95,42,1,0,52.03,0,tripinfo_61,DEFAULT_VEHTYPE,1.12,,47.4
27,55,E6_0,5.1,0,1,188,-E8_0,58.81,12.47,133,359.13,75,5,0,101.66,0,tripinfo_27,DEFAULT_VEHTYPE,0.95,,47.4
31,62,E8_0,5.1,0,0,188,E10_0,63.43,6.88,126,309.06,63,4,0,103.7,0,tripinfo_31,DEFAULT_VEHTYPE,1.15,,47.4
49,98,-E16_0,5.1,0,0,188,E12_0,30.33,11.37,90,273.23,42,3,0,65.46,0,tripinfo_49,DEFAULT_VEHTYPE,0.85,,47.4
52,107,-E8_0,5.1,0,3,188,-E4_0,27.1,11.54,81,256.9,39,2,0,60.06,0,tripinfo_52,DEFAULT_VEHTYPE,1.02,,47.4
42,84,E5_0,5.1,0,0,190,-E10_0,63.43,5.47,106,301.16,51,3,0,84.99,0,tripinfo_42,DEFAULT_VEHTYPE,1.09,,47.4
6,12,E2_0,5.1,0,0,196,-E10_0,63.43,11.17,184,440.88,106,5,0,150.58,0,tripinfo_6,DEFAULT_VEHTYPE,1.05,,47.4
56,112,E7_0,5.1,0,0,196,-E4_0,27.1,10.71,84,201.12,51,2,0,65.89,0,tripinfo_56,DEFAULT_VEHTYPE,0.9,,47.4
85,170,E2_0,5.1,0,0,196,E11_0,38.72,13.05,26,154.24,0,0,0,12.95,0,tripinfo_85,DEFAULT_VEHTYPE,0.98,,47.4
72,145,E2_0,5.1,0,1,197,E16_0,35.57,12.63,52,204.2,21,1,0,34.48,0,tripinfo_72,DEFAULT_VEHTYPE,0.94,,47.4
81,162,-E16_0,5.1,0,0,197,E21_0,16.21,12.18,35,245.66,0,0,0,15.45,0,tripinfo_81,DEFAULT_VEHTYPE,1,,47.4
64,129,-E0_0,5.1,0,1,207,E17_0,36.04,12.89,78,291.92,31,2,0,53.3,0,tripinfo_64,DEFAULT_VEHTYPE,0.94,,47.4
70,150,E4_0,5.1,0,10,207,-E3_0,33.94,6.88,57,145.77,25,2,0,45.53,0,tripinfo_70,DEFAULT_VEHTYPE,1.02,,47.4
78,156,-E22_0,5.1,0,0,216,E17_0,36.04,13.35,60,259.96,18,2,0,39.84,0,tripinfo_78,DEFAULT_VEHTYPE,1.01,,47.4
79,159,-E22_0,5.1,0,1,219,-E7_0,29.56,14.15,60,253.54,15,2,0,40.89,0,tripinfo_79,DEFAULT_VEHTYPE,1.09,,47.4
51,102,-E7_0,5.1,0,0,228,E1_0,58.45,6.06,126,281.99,61,5,0,106.68,0,tripinfo_51,DEFAULT_VEHTYPE,1.17,,47.4
82,164,-E23_0,5.1,0,0,228,E0_0,59.98,6.12,64,159.52,36,3,0,51.41,0,tripinfo_82,DEFAULT_VEHTYPE,1.02,,47.4
96,192,E4_0,5.1,0,0,230,E18_0,25.15,12.57,38,61.71,26,1,0,33.48,0,tripinfo_96,DEFAULT_VEHTYPE,1.01,,47.4
57,114,-E11_0,5.1,0,0,231,E12_0,30.33,12.28,117,224.37,73,3,0,101.25,0,tripinfo_57,DEFAULT_VEHTYPE,1.14,,47.4
63,126,-E23_0,5.1,0,0,231,E3_0,33.94,7.9,105,205.05,69,2,0,89.19,0,tripinfo_63,DEFAULT_VEHTYPE,0.99,,47.4
46,94,E1_0,5.1,0,2,233,E12_0,30.33,12.33,139,297.5,84,3,0,115.07,0,tripinfo_46,DEFAULT_VEHTYPE,1,,47.4
73,150,-E10_0,5.1,0,4,235,E23_0,39.96,13.84,85,186.16,52,2,0,72.2,0,tripinfo_73,DEFAULT_VEHTYPE,1.06,,47.4
