step,tlsID,ns_vehicle,ew_vehicle,phase,waiting_time
0,J0,0,0,0,0.0
0,J1,0,0,0,0.0
0,J2,0,0,0,0.0
0,J3,0,0,0,0.0
0,J4,0,1,0,0.0
0,J5,0,0,0,0.0
0,J6,0,0,0,0.0
0,J7,0,0,0,0.0
0,J8,0,0,0,0.0
1,J0,0,0,0,0.0
1,J1,0,0,0,0.0
1,J2,0,0,0,0.0
1,J3,0,0,0,0.0
1,J4,0,1,0,0.0
1,J5,0,0,0,0.0
1,J6,0,0,0,0.0
1,J7,0,0,0,0.0
1,J8,0,0,0,0.0
2,J0,0,1,0,0.0
2,J1,0,0,0,0.0
2,J2,0,0,0,0.0
2,J3,0,0,0,0.0
2,J4,0,1,0,0.0
2,J5,0,0,0,0.0
2,J6,0,0,0,0.0
2,J7,0,0,0,0.0
2,J8,0,0,0,0.0
3,J0,0,1,0,0.0
3,J1,0,0,0,0.0
3,J2,0,0,0,0.0
3,J3,0,0,0,0.0
3,J4,0,1,0,0.0
3,J5,0,0,0,0.0
3,J6,0,0,0,0.0
3,J7,0,0,0,0.0
3,J8,0,0,0,0.0
4,J0,0,1,0,0.0
4,J1,0,0,0,0.0
4,J2,0,0,0,0.0
4,J3,0,1,0,0.0
4,J4,0,1,0,0.0
4,J5,0,0,0,0.0
4,J6,0,0,0,0.0
4,J7,0,0,0,0.0
4,J8,0,0,0,0.0
5,J0,0,1,0,0.0
5,J1,0,0,0,0.0
5,J2,0,0,0,0.0
5,J3,0,1,0,0.0
5,J4,0,1,0,0.0
5,J5,0,0,0,0.0
5,J6,0,0,0,0.0
5,J7,0,0,0,0.0
5,J8,0,0,0,0.0
6,J0,0,1,0,0.0
6,J1,0,0,0,0.0
6,J2,0,0,0,0.0
6,J3,0,1,0,0.0
6,J4,0,2,0,0.0
6,J5,0,0,0,0.0
6,J6,0,0,0,0.0
6,J7,0,0,0,0.0
6,J8,0,0,0,0.0
7,J0,0,1,0,0.0
7,J1,0,0,0,0.0
7,J2,0,0,0,0.0
7,J3,0,1,0,0.0
7,J4,0,2,0,0.0
7,J5,0,0,0,0.0
7,J6,0,0,0,0.0
7,J7,0,0,0,0.0
7,J8,0,0,0,0.0
8,J0,0,1,0,0.0
8,J1,0,0,0,0.0
8,J2,0,0,0,0.0
8,J3,0,2,0,0.0
8,J4,0,1,0,0.0
8,J5,0,0,0,0.0
8,J6,0,0,0,0.0
8,J7,0,0,0,0.0
8,J8,0,0,0,0.0
9,J0,0,1,0,0.0
9,J1,0,1,0,0.0
9,J2,0,0,0,0.0
9,J3,0,2,0,0.0
9,J4,0,1,0,0.0
9,J5,0,0,0,0.0
9,J6,0,0,0,0.0
9,J7,0,0,0,0.0
9,J8,0,0,0,0.0
10,J0,0,1,0,1.0
10,J1,0,1,0,0.0
10,J2,0,0,0,0.0
10,J3,0,2,0,0.0
10,J4,0,1,0,0.0
10,J5,0,0,0,0.0
10,J6,0,0,0,0.0
10,J7,0,0,0,0.0
10,J8,0,1,0,0.0
11,J0,0,1,0,2.0
11,J1,0,1,0,0.0
11,J2,0,0,0,0.0
11,J3,0,2,0,0.0
11,J4,0,1,0,1.0
11,J5,0,0,0,0.0
11,J6,0,0,0,0.0
11,J7,0,0,0,0.0
11,J8,0,1,0,0.0
12,J0,0,1,0,3.0
12,J1,0,0,0,0.0
12,J2,0,0,0,0.0
12,J3,0,1,0,0.0
12,J4,0,1,0,2.0
12,J5,0,0,0,0.0
12,J6,0,0,0,0.0
12,J7,0,0,0,0.0
12,J8,0,2,0,0.0
13,J0,0,1,0,4.0
13,J1,0,1,0,0.0
13,J2,0,0,0,0.0
13,J3,0,1,0,0.0
13,J4,0,1,0,3.0
13,J5,0,0,0,0.0
13,J6,0,0,0,0.0
13,J7,0,0,0,0.0
13,J8,0,2,0,0.0
14,J0,0,2,0,5.0
14,J1,0,1,0,0.0
