step,avg_waiting_time,max_waiting_time,throughput,conflict_count
0,0.0,0.0,1,0
1,0.0,0.0,1,0
2,0.0,0.0,2,0
3,0.0,0.0,2,0
4,0.0,0.0,3,0
5,0.0,0.0,3,0
6,0.0,0.0,4,0
7,0.0,0.0,4,0
8,0.0,0.0,5,0
9,0.0,0.0,5,0
10,0.16666666666666666,1.0,6,0
11,0.5,2.0,6,0
12,0.7142857142857143,3.0,7,0
13,1.0,4.0,7,0
14,1.125,5.0,8,0
15,1.375,6.0,8,0
16,1.5555555555555556,7.0,9,0
17,1.8888888888888888,8.0,9,0
18,2.1,9.0,10,0
19,2.5,10.0,10,0
20,2.6363636363636362,11.0,11,0
21,3.3,12.0,11,0
22,3.3636363636363638,13.0,12,0
23,3.727272727272727,14.0,12,0
24,4.181818181818182,15.0,12,0
25,4.636363636363637,16.0,12,0
26,5.090909090909091,17.0,13,0
27,5.636363636363637,18.0,13,0
28,5.666666666666667,19.0,14,0
29,6.166666666666667,20.0,14,0
30,6.153846153846154,21.0,15,0
31,6.6923076923076925,22.0,15,0
32,6.714285714285714,23.0,16,0
33,7.357142857142857,24.0,16,0
34,7.533333333333333,25.0,17,0
35,8.2,26.0,17,0
36,8.3125,27.0,18,0
37,9.0,28.0,18,0
38,9.235294117647058,29.0,19,0
39,10.0,30.0,19,0
40,10.166666666666666,31.0,20,0
41,10.88888888888889,32.0,20,0
42,11.0,33.0,21,0
43,12.333333333333334,34.0,21,0
44,13.055555555555555,35.0,21,0
45,1.8888888888888888,22.0,21,0
46,0.05263157894736842,1.0,22,0
47,0.15,2.0,23,0
48,0.2857142857142857,3.0,24,0
49,0.2857142857142857,4.0,24,0
50,0.2608695652173913,5.0,26,0
51,0.4,6.0,26,0
52,0.5,7.0,27,0
53,0.631578947368421,8.0,27,0
54,0.8,9.0,28,0
55,1.05,10.0,28,0
56,1.2857142857142858,11.0,29,0
57,1.8,12.0,29,0
58,2.25,13.0,30,0
59,2.7,14.0,30,0
