step,avg_waiting_time,max_waiting_time,throughput,conflict_count
0,0.0,0.0,1,0
1,0.0,0.0,1,0
2,0.0,0.0,2,0
3,0.0,0.0,2,0
4,0.0,0.0,3,0
5,0.0,0.0,3,0
6,0.0,0.0,4,0
7,0.0,0.0,4,0
8,0.0,0.0,5,0
9,0.0,0.0,5,1
10,0.0,0.0,6,2
11,0.0,0.0,6,3
12,0.0,0.0,7,3
13,0.0,0.0,7,4
14,0.0,0.0,8,6
15,0.0,0.0,8,8
16,0.0,0.0,9,11
17,0.0,0.0,9,14
18,0.0,0.0,10,16
19,0.0,0.0,10,18
20,0.0,0.0,11,21
21,0.0,0.0,11,26
22,0.0,0.0,12,31
23,0.0,0.0,12,36
24,0.0,0.0,13,40
25,0.0,0.0,13,44
26,0.0,0.0,14,47
27,0.0,0.0,14,50
28,0.0,0.0,15,54
29,0.0,0.0,15,58
30,0.0,0.0,16,62
31,0.0,0.0,16,66
32,0.0,0.0,17,71
33,0.0,0.0,17,77
34,0.0,0.0,18,83
35,0.0,0.0,18,88
