step,avg_waiting_time,throughput,conflict_count
0,0.0,1,0
1,0.0,1,0
2,0.0,2,0
3,0.0,2,0
4,0.0,3,0
5,0.0,3,0
6,0.0,4,0
7,0.0,4,0
8,0.0,5,0
9,0.0,5,0
10,0.0,6,0
11,0.0,6,0
12,0.0,7,0
13,0.0,7,0
14,0.0,8,0
15,0.0,8,0
16,0.0,8,0
17,0.0,9,0
18,0.0,10,0
19,0.0,10,0
20,0.0,11,0
21,0.0,11,0
22,0.0,12,0
23,0.0,12,0
24,0.0,13,0
25,0.0,13,0
26,0.0,13,0
27,0.0,13,0
28,0.0,15,0
29,0.0,15,0
30,0.0,16,0
31,0.0,16,0
32,0.0,16,0
33,0.0,17,0
34,0.0,18,0
35,0.0,18,0
36,0.0,19,0
37,0.0,19,0
38,0.0,19,0
39,0.0,20,0
40,0.0,21,0
41,0.0,21,0
42,0.0,22,0
43,0.0,22,0
44,0.05263157894736842,23,0
45,0.10526315789473684,23,0
46,0.15789473684210525,24,0
47,0.21052631578947367,24,0
48,0.05,25,0
49,0.10526315789473684,25,0
50,0.15789473684210525,25,0
51,0.21052631578947367,26,0
52,0.25,27,0
53,0.0,27,0
54,0.0,28,0
55,0.0,28,0
56,0.0,29,0
57,0.0,29,0
58,0.0,30,0
59,0.0,30,0
60,0.0,31,0
61,0.0,31,0
62,0.0,32,0
63,0.0,32,0
64,0.05555555555555555,32,0
65,0.1111111111111111,32,0
66,0.16666666666666666,32,0
67,0.2777777777777778,33,0
68,0.3684210526315789,34,0
69,0.5263157894736842,35,0
70,0.6842105263157895,36,0
71,0.8947368421052632,36,0
72,1.105263157894737,36,0
73,1.3157894736842106,36,0
74,1.4285714285714286,38,0
75,1.6666666666666667,38,0
76,1.9047619047619047,38,0
77,2.090909090909091,39,0
78,2.3636363636363638,40,0
79,2.6363636363636362,40,0
80,2.1363636363636362,41,0
81,1.6818181818181819,41,0
82,1.2272727272727273,41,0
83,0.8095238095238095,41,0
84,0.36363636363636365,42,0
