step,avg_waiting_tine,max_waiting_time,throughput,conflict_count
0,0.0,0.0,1,0
1,0.0,0.0,1,0
2,0.0,0.0,2,0
3,0.0,0.0,2,0
4,0.0,0.0,3,0
5,0.0,0.0,3,0
6,0.0,0.0,4,0
7,0.0,0.0,4,0
8,0.0,0.0,5,0
9,0.0,0.0,5,0
10,0.0,0.0,6,0
11,0.0,0.0,6,0
12,0.0,0.0,7,0
13,0.0,0.0,7,0
14,0.0,0.0,8,0
15,0.0,0.0,8,0
16,0.0,0.0,9,1
17,0.0,0.0,9,2
18,0.0,0.0,10,3
19,0.0,0.0,10,4
20,0.0,0.0,11,5
21,0.0,0.0,11,6
22,0.0,0.0,12,7
23,0.0,0.0,12,8
24,0.0,0.0,13,8
25,0.0,0.0,13,8
26,0.0,0.0,14,8
27,0.0,0.0,14,8
28,0.0,0.0,15,9
29,0.0,0.0,15,10
30,0.0,0.0,16,12
31,0.0,0.0,16,13
32,0.0,0.0,17,14
33,0.0,0.0,17,14
34,0.0,0.0,18,14
35,0.0,0.0,18,14
36,0.0,0.0,19,14
37,0.0,0.0,19,15
38,0.0,0.0,20,16
39,0.0,0.0,20,17
40,0.0,0.0,21,17
41,0.0,0.0,21,17
42,0.0,0.0,22,17
43,0.0,0.0,22,17
44,0.0,0.0,23,17
45,0.0,0.0,23,17
46,0.0,0.0,23,17
47,0.0,0.0,23,17
48,0.0,0.0,24,17
49,0.0,0.0,24,17
50,0.0,0.0,25,17
51,0.0,0.0,25,18
52,0.0,0.0,26,19
53,0.0,0.0,26,19
54,0.0,0.0,28,20
55,0.0,0.0,28,22
56,0.0,0.0,29,24
57,0.0,0.0,29,27
58,0.0,0.0,30,30
59,0.0,0.0,30,32
60,0.0,0.0,31,33
61,0.0,0.0,31,34
62,0.0,0.0,32,35
63,0.0,0.0,32,36
64,0.0,0.0,33,37
65,0.0,0.0,33,38
66,0.0,0.0,34,40
67,0.08333333333333333,1.0,34,43
68,0.15384615384615385,2.0,35,46
