step,avg_waiting_time,max_waiting_time,throughput,conflict_count
0,0.0,0.0,1,0
1,0.0,0.0,1,0
2,0.0,0.0,1,0
3,0.0,0.0,1,0
4,0.0,0.0,2,0
5,0.0,0.0,2,0
6,0.0,0.0,2,0
7,0.0,0.0,2,0
8,0.0,0.0,3,0
9,0.0,0.0,3,0
10,0.0,0.0,3,0
11,0.0,0.0,3,0
12,0.0,0.0,4,0
13,0.0,0.0,4,0
14,0.0,0.0,4,0
15,0.0,0.0,4,0
16,0.0,0.0,5,0
17,0.0,0.0,5,0
18,0.0,0.0,5,0
19,0.0,0.0,5,0
20,0.0,0.0,6,0
21,0.0,0.0,6,0
22,0.0,0.0,6,0
23,0.0,0.0,6,0
24,0.16666666666666666,1.0,7,0
25,0.3333333333333333,2.0,7,0
26,0.6,3.0,7,0
27,0.8,4.0,7,0
28,1.0,5.0,8,0
29,1.2,6.0,8,0
30,1.4,7.0,8,0
31,1.6,8.0,8,0
32,2.0,9.0,9,0
33,2.4,10.0,9,0
34,2.8,11.0,9,0
35,3.4,12.0,9,0
36,3.3333333333333335,13.0,10,0
37,3.8333333333333335,14.0,10,0
38,4.333333333333333,15.0,10,0
39,4.833333333333333,16.0,10,0
40,4.571428571428571,17.0,11,0
41,5.0,18.0,11,0
42,5.428571428571429,19.0,11,0
43,5.857142857142857,20.0,11,0
44,5.5,21.0,12,0
45,0.0,0.0,12,0
46,0.125,1.0,12,0
47,0.25,2.0,12,0
48,0.3333333333333333,3.0,13,0
49,0.4444444444444444,4.0,13,0
50,0.5555555555555556,5.0,13,0
51,0.875,6.0,13,0
52,1.1111111111111112,7.0,14,0
53,1.4444444444444444,8.0,14,0
54,1.7777777777777777,9.0,14,0
55,2.111111111111111,10.0,14,0
56,2.4,11.0,15,0
57,3.2222222222222223,12.0,15,0
58,3.888888888888889,13.0,15,0
59,4.555555555555555,14.0,15,0
60,4.7,15.0,16,0
61,5.3,16.0,16,0
62,5.9,17.0,16,0
63,6.5,18.0,16,0
